union 联合；并集
intersec 交集
difference 差集
symmetric_difference 异或
error 错误
function  功能；函数
method  方法
stack  堆栈；堆起来
queue 队列
index 索引
enumerate 枚举，列举
sort 种类，方式；分类，整理
reverse 背面；相反；倒退
valid  有效的
invalid  无效的
illegal 非法的，不合法的
syntax 语句，语法
uniform  统一的，一致的；制服
instance 实例，例子；以..为例
variable 变量
local 局部的，本地的
global  全局的，全球的
command  命令
shell  外壳，剥落
recursion  递归
object  对象
instance  实例
inherit  继承
attribute  属性
magic  魔法，戏法
perimeter  周长
rectangle  矩形
area  面积
iteration  迭代
module  模块
primary 主要的
extend  扩展
partition  分区
logical  逻辑的
directory  目录,地址录
device  设备，装置
tail  尾巴，尾部
alter  改变，更改
odd  奇数
even  偶数
column  纵队，列
trigger  扳机，引发，触发器
row  一行，一排
truncate  把..截短
average  平均，平均数
current  现在的，当前的
middle  中间的
breadth  宽度，广度
combine  合并
robust  强壮，健壮，鲁棒性
costom  习惯，惯例
terminate  终止，结束
template  模板
filter  过滤，过滤器
